generation,avg_cost,best_cost,avg_coverage,best_coverage,avg_distance,best_distance,avg_sites,min_sites,max_sites,best_sites,avg_wait_min,avg_wait_peak_min,avg_wait_normal_min,unstable_sites_count
132,201321945.66531083,22255190.15640578,284.7662751733416,284.7662751733417,1.0880256753958624,0.675425923978205,45.71666666666667,6,116,6,,,,60
133,204244706.1971754,22255190.15640578,284.7662751733416,284.7662751733417,1.0823548295266676,0.675425923978205,46.65,6,116,6,,,,60
134,198490790.4423483,22255190.15640578,284.7662751733416,284.7662751733417,1.0942755611173327,0.675425923978205,45.266666666666666,6,116,6,,,,60
135,196403488.97381985,22255190.15640578,284.7662751733416,284.7662751733417,1.1114314875456361,0.675425923978205,44.833333333333336,6,116,6,,,,60
136,208995024.5262292,22255190.15640578,284.7662751733416,284.7662751733417,1.0770541553198762,0.675425923978205,47.2,6,116,6,,,,60
137,208014530.76849192,22255190.15640578,284.7662751733416,284.7662751733417,1.1026287846271996,0.675425923978205,46.96666666666667,6,116,6,,,,60
138,202571478.8279807,22255190.15640578,284.7662751733416,284.7662751733417,1.1077791035313107,0.675425923978205,45.9,6,116,6,,,,60
139,211216231.29179272,22255190.15640578,284.7662751733416,284.7662751733417,1.078342204845492,0.675425923978205,47.45,6,116,6,,,,60
140,202246870.97370514,22255190.15640578,284.7662751733416,284.7662751733417,1.1105750157359267,0.675425923978205,45.583333333333336,6,116,6,,,,60
141,190817054.86909834,22255190.15640578,284.7662751733416,284.7662751733417,1.1260212684829698,0.675425923978205,43.28333333333333,6,115,6,,,,60
142,189326026.65608752,22255190.15640578,284.7662751733416,284.7662751733417,1.1380679619080731,0.675425923978205,42.916666666666664,6,115,6,,,,60
143,201559577.53452927,22255190.15640578,284.7662751733416,284.7662751733417,1.1200754618875317,0.675425923978205,45.4,6,115,6,,,,60
144,199248544.9866263,22255190.15640578,284.7662751733416,284.7662751733417,1.127569269153678,0.675425923978205,44.766666666666666,6,115,6,,,,60
145,201402675.23214915,22255190.15640578,284.7662751733416,284.7662751733417,1.111637538155747,0.675425923978205,45.016666666666666,6,115,6,,,,60
146,204940233.49112356,22255190.15640578,284.7662751733416,284.7662751733417,1.1055436748424725,0.675425923978205,45.75,6,115,6,,,,60
147,199349194.34150445,22255190.15640578,284.7662751733416,284.7662751733417,1.103943441360485,0.675425923978205,44.983333333333334,6,115,6,,,,60
