site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type,queue_arrival_rate_per_hour,queue_service_rate_per_charger_per_hour,queue_chargers,queue_station_capacity_K,avg_charging_time_min,avg_wait_time_min,avg_time_in_station_min,queue_Lq,queue_L,queue_P0,queue_P_block,queue_utilization
104,Kabeer roasted chicken,22.7138033,75.8745714,High,1606.62,20.4562,20183434.6,18.0,8,4564631.978985445,125800.0,4690431.978985445,17,,11.0,252.0,400.0,-148.0,1.320641415862772,False,restaurant,13.388519818350561,4.0,8,,15.0,0.07602207662099675,15.076022076620996,0.01696371799120633,3.3640936725788464,0.03510267846755281,0.0,0.41839124432345504
107,Neelkamal restaurant,22.7178272,75.8694472,High,1640.08,20.8821,20604997.93,18.0,4,2742731.514883329,0.0,2742731.514883329,17,,11.0,252.0,200.0,52.0,1.8011262161844408,True,restaurant,13.667331646848233,4.0,4,,15.0,17.938041322587875,32.93804132258787,4.086085997511276,7.502918909223334,0.01790301011298053,0.0,0.8542082279280145
109,,22.700538747462364,75.92601925588221,High,1487.65,18.9414,18684436.78,18.0,8,4756245.237139989,0.0,4756245.237139989,18,Indore East,220.0,54000.0,400.0,53600.0,0.5375859775274936,True,restaurant,12.397118783526254,4.0,8,,15.0,0.047494577611266686,15.047494577611268,0.009813265337004662,3.1090929612185683,0.045021190216848424,0.0,0.38740996198519545
110,,22.7478513,75.8949282,High,1357.39,17.2828,17043056.26,18.0,12,6622490.374799627,0.0,6622490.374799627,13,Satya Sai Substation,132.0,36000.0,600.0,35400.0,0.3461612388077147,True,fuel_station,11.311549263829985,4.0,12,,15.0,6.908847463423887e-05,15.000069088474635,1.3024961406467687e-05,2.8279003409189025,0.05913759068826303,0.0,0.23565727632979136
112,,22.7169637,75.8844267,High,1592.62,20.2779,20006988.97,18.0,8,4724061.830478864,125800.0,4849861.830478864,17,,11.0,252.0,400.0,-148.0,0.26214475847344637,False,fuel_station,13.271822931329698,4.0,8,,15.0,0.07208209318777545,15.072082093187776,0.015944346288462707,3.3339000791208875,0.036147061497470115,0.0,0.41474446660405306
113,,22.7173106,75.8843472,High,1602.11,20.3987,20126590.76,18.0,4,2923523.770936519,0.0,2923523.770936519,17,,11.0,252.0,200.0,52.0,0.2730265393797224,True,fuel_station,13.350924674433408,4.0,4,,15.0,14.943779315397432,29.943779315397435,3.325221199853786,6.662952368462138,0.021124364463071962,0.0,0.834432792152088
114,,22.707562,75.8785267,High,1566.21,19.9417,19674295.69,18.0,8,4713442.89629466,125800.0,4839242.89629466,17,,11.0,252.0,400.0,-148.0,1.3584274015696385,False,fuel_station,13.051787612111523,4.0,8,,15.0,0.06510232044651822,15.065102320446519,0.01416169432539302,3.277108597353274,0.03820077709874947,0.0,0.4078683628784851
115,,22.7233775,75.8868323,High,1583.13,20.157,19887387.18,18.0,12,6535780.614672751,295800.0,6831580.614672751,17,,11.0,252.0,600.0,-348.0,0.7132734766313265,False,fuel_station,13.192721188225995,4.0,12,,15.0,0.000303825253264904,15.000303825253265,6.68046976044338e-05,3.2982471017541037,0.03695011324700874,0.0,0.2748483580880416
117,,22.7225077,75.8344146,High,1439.63,18.3299,18079308.88,18.0,8,4708453.202852855,125800.0,4834253.202852855,27,,11.0,252.0,400.0,-148.0,1.3812087571504026,False,fuel_station,11.996901774093992,4.0,8,,15.0,0.03878409574968158,15.038784095749682,0.007754816451766436,3.0069802599752644,0.0497730903685463,0.0,0.37490318044043724
118,,22.7323563,75.846771,High,1614.7,20.5589,20285149.89,18.0,12,6481353.969509247,0.0,6481353.969509247,33,,132.0,36000.0,600.0,35400.0,1.4595721819455636,True,fuel_station,13.455791862004471,4.0,12,,15.0,0.00036605713385583097,15.000366057133855,8.209314337943285e-05,3.364030058644497,0.034598128082596394,0.0,0.2803289971250931
